id,name,country,url,image,pdf
104,GERMAN SPANIEL,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SPANIEL-104.html,http://www.fci.be/Nomenclature/Illustrations/104g08.jpg,http://www.fci.be/Nomenclature/Standards/104g08-en.pdf
105,FRENCH WATER DOG,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html,http://www.fci.be/Nomenclature/Illustrations/105g08.jpg,http://www.fci.be/Nomenclature/Standards/105g08-en.pdf
106,BLUE PICARDY SPANIEL,FRANCE,http://www.fci.be/en/nomenclature/BLUE-PICARDY-SPANIEL-106.html,,http://www.fci.be/Nomenclature/Standards/106g07-en.pdf
107,WIRE-HAIRED POINTING GRIFFON KORTHALS,FRANCE,http://www.fci.be/en/nomenclature/WIRE-HAIRED-POINTING-GRIFFON-KORTHALS-107.html,,http://www.fci.be/Nomenclature/Standards/107g07-en.pdf
108,PICARDY SPANIEL,FRANCE,http://www.fci.be/en/nomenclature/PICARDY-SPANIEL-108.html,,http://www.fci.be/Nomenclature/Standards/108g07-en.pdf
109,CLUMBER SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CLUMBER-SPANIEL-109.html,http://www.fci.be/Nomenclature/Illustrations/109g08.jpg,http://www.fci.be/Nomenclature/Standards/109g08-en.pdf
110,CURLY COATED RETRIEVER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CURLY-COATED-RETRIEVER-110.html,http://www.fci.be/Nomenclature/Illustrations/110g08.jpg,http://www.fci.be/Nomenclature/Standards/110g08-en.pdf
111,GOLDEN RETRIEVER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html,http://www.fci.be/Nomenclature/Illustrations/111g08.jpg,http://www.fci.be/Nomenclature/Standards/111g08-en.pdf
113,BRIARD,FRANCE,http://www.fci.be/en/nomenclature/BRIARD-113.html,http://www.fci.be/Nomenclature/Illustrations/113g01.jpg,http://www.fci.be/Nomenclature/Standards/113g01-en.pdf
114,PONT-AUDEMER SPANIEL,FRANCE,http://www.fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html,,http://www.fci.be/Nomenclature/Standards/114g07-en.pdf
115,SAINT GERMAIN POINTER,FRANCE,http://www.fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html,,http://www.fci.be/Nomenclature/Standards/115g07-en.pdf
116,DOGUE DE BORDEAUX,FRANCE,http://www.fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html,http://www.fci.be/Nomenclature/Illustrations/116g02.jpg,http://www.fci.be/Nomenclature/Standards/116g02-en.pdf
117,DEUTSCH LANGHAAR,GERMANY,http://www.fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html,http://www.fci.be/Nomenclature/Illustrations/117g07.jpg,http://www.fci.be/Nomenclature/Standards/117g07-en.pdf
118,LARGE MUNSTERLANDER,GERMANY,http://www.fci.be/en/nomenclature/LARGE-MUNSTERLANDER-118.html,http://www.fci.be/Nomenclature/Illustrations/118g07.jpg,http://www.fci.be/Nomenclature/Standards/118g07-en.pdf
119,GERMAN SHORT- HAIRED POINTING DOG,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html,http://www.fci.be/Nomenclature/Illustrations/119g07.jpg,http://www.fci.be/Nomenclature/Standards/119g07-en.pdf
120,IRISH RED SETTER,IRELAND,http://www.fci.be/en/nomenclature/IRISH-RED-SETTER-120.html,,http://www.fci.be/Nomenclature/Standards/120g07-en.pdf
121,FLAT COATED RETRIEVER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html,http://www.fci.be/Nomenclature/Illustrations/121g08.jpg,http://www.fci.be/Nomenclature/Standards/121g08-en.pdf
122,LABRADOR RETRIEVER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/LABRADOR-RETRIEVER-122.html,http://www.fci.be/Nomenclature/Illustrations/122g08.jpg,http://www.fci.be/Nomenclature/Standards/122g08-en.pdf
123,FIELD SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/FIELD-SPANIEL-123.html,http://www.fci.be/Nomenclature/Illustrations/123g08.jpg,http://www.fci.be/Nomenclature/Standards/123g08-en.pdf
124,IRISH WATER SPANIEL,IRELAND,http://www.fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html,,http://www.fci.be/Nomenclature/Standards/124g08-en.pdf
125,ENGLISH SPRINGER SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html,http://www.fci.be/Nomenclature/Illustrations/125g08.jpg,http://www.fci.be/Nomenclature/Standards/125g08-en.pdf
126,WELSH SPRINGER SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/WELSH-SPRINGER-SPANIEL-126.html,http://www.fci.be/Nomenclature/Illustrations/126g08.jpg,http://www.fci.be/Nomenclature/Standards/126g08-en.pdf
127,SUSSEX SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/SUSSEX-SPANIEL-127.html,http://www.fci.be/Nomenclature/Illustrations/127g08.jpg,http://www.fci.be/Nomenclature/Standards/127g08-en.pdf
128,KING CHARLES SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/KING-CHARLES-SPANIEL-128.html,http://www.fci.be/Nomenclature/Illustrations/128g09.jpg,http://www.fci.be/Nomenclature/Standards/128g09-en.pdf
